number,title,tag1,tag2,tag3
PD0285/RR/1000/000,Road Restraints Schene Key and Index of Drawings,RRS,Drawing,Section 1A
PD0285/RR/1000/001,"Road Restraint Sheet 1 of 68 Ch 400 - Ch 1,000",RRS,Drawing,Section 1A
PD0285/RR/1000/002,"Road Restraint Sheet 2 of 68 Ch 1,000 - Ch 1,600",RRS,Drawing,Section 1A
PD0285/RR/1000/003,"Road Restraint Sheet 3 of 68 Ch 1,600 - Ch 2,200",RRS,Drawing,Section 1A
PD0285/RR/1000/004,"Road Restraint Sheet 4 of 68 Ch 2,200 - Ch 2,800",RRS,Drawing,Section 1A
PD0285/RR/1000/005,"Road Restraint Sheet 5 of 68 Ch 2,800 - Ch 3,400",RRS,Drawing,Section 1A
PD0285/RR/1000/006,"Road Restraint Sheet 6 of 68 Ch 3,400 - Ch 4,000",RRS,Drawing,Section 1A
PD0285/RR/1000/007,"Road Restraint Sheet 7 of 68 Ch 4,000 - Ch 4,600",RRS,Drawing,Section 1A
PD0285/RR/1000/008,"Road Restraint Sheet 8 of 68 Ch 4,600 - Ch 5,200",RRS,Drawing,Section 1A
PD0285/RR/1000/009,"Road Restraint Sheet 9 of 68 Ch 5,200 - Ch 5,800",RRS,Drawing,Section 1A
PD0285/RR/1000/010,"Road Restraint Sheet 10 of 68 Ch 5,800 - Ch 6,400",RRS,Drawing,Section 1B
PD0285/RR/1000/011,"Road Restraint Sheet 11 of 68 Ch 6,400 - Ch 7,060",RRS,Drawing,Section 1B
PD0285/RR/1000/012,"Road Restraint Sheet 12 of 68 Ch 7,060 - Ch 7,700",RRS,Drawing,Section 1B
PD0285/RR/1000/013,"Road Restraint Sheet 13 of 68 Ch 7,700 - Ch 8,300",RRS,Drawing,Section 1C
PD0285/RR/1000/014,"Road Restraint Sheet 14 of 68 Ch 8,300 - Ch 8,800",RRS,Drawing,Section 1C
PD0285/RR/1000/015,"Road Restraint Sheet 15 of 68 Ch 8,300 - Ch 8,800",RRS,Drawing,Section 1C
PD0285/RR/1000/016,"Road Restraint Sheet 16 of 68 Ch 9,400 - Ch 10,100",RRS,Drawing,Section 1C
PD0285/RR/1000/017,"Road Restraint Sheet 17 of 68 Ch 10,100 - Ch 10,700",RRS,Drawing,Section 1C
PD0285/RR/1000/018,"Road Restraint Sheet 18 of 68 Ch 10,700 - Ch 11,300",RRS,Drawing,Section 1C
PD0285/RR/1000/019,"Road Restraint Sheet 19 of 68 Ch 11,300 - Ch 11,900",RRS,Drawing,Section 1C
PD0285/RR/1000/020,"Road Restraint Sheet 20 of 68 Ch 11,900 - Ch 12,580",RRS,Drawing,Section 1C
PD0285/RR/1000/021,"Road Restraint Sheet 21 of 68 Ch 12,580 - Ch 13,180",RRS,Drawing,Section 2
PD0285/RR/1000/022,"Road Restraint Sheet 22 of 68 Ch 13,180 - Ch 13,780",RRS,Drawing,Section 2
PD0285/RR/1000/023,"Road Restraint Sheet 23 of 68 Ch 13,780 - Ch 14,440",RRS,Drawing,Section 2
PD0285/RR/1000/024,"Road Restraint Sheet 24 of 68 Ch 14,440 - Ch 15,060",RRS,Drawing,Section 2
PD0285/RR/1000/025,"Road Restraint Sheet 25 of 68 Ch 15,060 - Ch 15,700",RRS,Drawing,Section 2
PD0285/RR/1000/026,"Road Restraint Sheet 26 of 68 Ch 15,700 - Ch 16,300",RRS,Drawing,Section 2
PD0285/RR/1000/027,"Road Restraint Sheet 27 of 68 Ch 16,300 - Ch 16,920",RRS,Drawing,Section 2
PD0285/RR/1000/028,"Road Restraint Sheet 28 of 68 Ch 16,920 - Ch 17,560",RRS,Drawing,Section 2
PD0285/RR/1000/029,"Road Restraint Sheet 29 of 68 Ch 17,560 - Ch 18,200",RRS,Drawing,Section 2
PD0285/RR/1000/030,"Road Restraint Sheet 30 of 68 Ch 18,200 - Ch 18,840",RRS,Drawing,Section 2
PD0285/RR/1000/031,"Road Restraint Sheet 31 of 68 Ch 18,840 - Ch 19,400",RRS,Drawing,Section 2
PD0285/RR/1000/032,"Road Restraint Sheet 32 of 68 Ch 19,400 - Ch 20,000",RRS,Drawing,Section 2
PD0285/RR/1000/033,"Road Restraint Sheet 33 of 68 Ch 20,000 - Ch 20,600",RRS,Drawing,Section 2
PD0285/RR/1000/034,"Road Restraint Sheet 34 of 68 Ch 20,600 - Ch 21,200",RRS,Drawing,Section 2
PD0285/RR/1000/035,"Road Restraint Sheet 35 of 68 Ch 21,200 - Ch 21,800",RRS,Drawing,Section 2
PD0285/RR/1000/036,"Road Restraint Sheet 36 of 68 Ch 21,800 - Ch 22,400",RRS,Drawing,Section 3
PD0285/RR/1000/037,"Road Restraint Sheet 37 of 68 Ch 22,400 - Ch 23,000",RRS,Drawing,Section 3
PD0285/RR/1000/038,"Road Restraint Sheet 38 of 68 Ch 23,000 - Ch 23,620",RRS,Drawing,Section 3
PD0285/RR/1000/039,"Road Restraint Sheet 39 of 68 Ch 23,620 - Ch 24,220",RRS,Drawing,Section 3
PD0285/RR/1000/040,"Road Restraint Sheet 40 of 68 Ch 24,220 - Ch 24,820",RRS,Drawing,Section 3
PD0285/RR/1000/041,"Road Restraint Sheet 41 of 68 Ch 24,820 - Ch 25,420",RRS,Drawing,Section 3
PD0285/RR/1000/042,"Road Restraint Sheet 42 of 68 Ch 25,420 - Ch 26,020",RRS,Drawing,Section 3
PD0285/RR/1000/043,"Road Restraint Sheet 43 of 68 Ch 26,020 - Ch 26,620",RRS,Drawing,Section 3
PD0285/RR/1000/044,"Road Restraint Sheet 44 of 68 Ch 26,620 - Ch 27,220",RRS,Drawing,Section 3
PD0285/RR/1000/045,"Road Restraint Sheet 45 of 68 Ch 27,220 - Ch 27,820",RRS,Drawing,Section 3
PD0285/RR/1000/046,"Road Restraint Sheet 46 of 68 Ch 27,820 - Ch 28,420",RRS,Drawing,Section 3
PD0285/RR/1000/047,Road Restraint Owthorpe Junction Sheet 47 of 68,RRS,Drawing,
PD0285/RR/1000/048,Road Restraint Owthorpe Junction Sheet 48 of 68,RRS,Drawing,
PD0285/RR/1000/049,Road Restraint Cotgrave Overbridge Sheet 49 of 68,RRS,Drawing,
PD0285/RR/1000/050,Road Restraint Cotgrave Overbridge Sheet 50 of 68,RRS,Drawing,
PD0285/RR/1000/051,Road Restraint Stragglethorpe Junction Sheet 51 of 68,RRS,Drawing,
PD0285/RR/1000/052,Road Restraint Cropwell Butler Sheet 52 of 68,RRS,Drawing,
PD0285/RR/1000/053,Road Restraint Cropwell Butler Sheet 53 of 68,RRS,Drawing,
PD0285/RR/1000/054,Road Restraint Cropwell Butler Sheet 54 of 68,RRS,Drawing,
PD0285/RR/1000/055,Road Restraint Henson Lane Overbridge Sheet 55 of 68,RRS,Drawing,
PD0285/RR/1000/056,Road Restraint Henson Lane Overbridge Sheet 56 of 68,RRS,Drawing,
PD0285/RR/1000/057,Road Restraint Saxondalte Roundabout Sheet 57 of 68,RRS,Drawing,
PD0285/RR/1000/058,Road Restraint Saxondalte Roundabout Sheet 58 of 68,RRS,Drawing,
PD0285/RR/1000/059,Road Restraint Balancing Pond Sheet 59 of 68,RRS,Drawing,
PD0285/RR/1000/060,Road Restraint Margidunum SB Merge Sheet 60 of 68,RRS,Drawing,
PD0285/RR/1000/061,Road Restraint Margidunum Junction Sheet 61 of 68,RRS,Drawing,
PD0285/RR/1000/062,Road Restraint Butt Lane Overbridge Sheet 62 of 68,RRS,Drawing,
PD0285/RR/1000/063,Road Restraint Tenman Lane Sheet 63 of 68,RRS,Drawing,
PD0285/RR/1000/064,Road Restraint Flintham Junction Sheet 64 of 68,RRS,Drawing,
PD0285/RR/1000/065,Road Restraint Lodge Lane Junction Sheet 65 of 68,RRS,Drawing,
PD0285/RR/1000/066,Road Restraint Lodge Lane Junction Sheet 66 of 68,RRS,Drawing,
PD0285/RR/1000/067,Road Restraint Elston Lane Sheet 67 of 68,RRS,Drawing,
PD0285/RR/1000/068,Road Restraint Hawton Lane Overbridge Sheet 68 of 68,RRS,Drawing,
PD0285/EW/1250/303,Flintham Proposed Ground Investigation,EW,Drawing,
PD0285/EW/1500/304,Kinoulton Proposed Ground Investigation,EW,Drawing,
PD0285/EW/2500/305,Cotgrave Proposed Ground Investigation,EW,Drawing,
PD0285/EW/1250/306,Saxonale South Underbridge Proposed GI,EW,Drawing,
PD0285/EW/1250/307,Saxonale South Underbridge Proposed GI,EW,Drawing,
PD0285/EW/2500/400,"Earthworks Drawing - Gen Notes, Key and Index",EW,Drawing,
PD0285/EW/2500/401,Earthworks Drawing 1 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/402,Earthworks Drawing 2 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/403,Earthworks Drawing 3 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/404,Earthworks Drawing 4 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/405,Earthworks Drawing 5 of 19,EW,Drawing,Section 1B
PD0285/EW/2500/406,Earthworks Drawing 6 of 19,EW,Drawing,Section 1C
PD0285/EW/2500/407,Earthworks Drawing 7 of 19,EW,Drawing,Section 1C
PD0285/EW/2500/408,Earthworks Drawing 8 of 19,EW,Drawing,Section 1C
PD0285/EW/2500/409,Earthworks Drawing 9 of 19,EW,Drawing,Section 2
PD0285/EW/2500/410,Earthworks Drawing 10 of 19,EW,Drawing,Section 2
PD0285/EW/2500/411,Earthworks Drawing 11 of 19,EW,Drawing,Section 2
PD0285/EW/2500/412,Earthworks Drawing 12 of 19,EW,Drawing,Section 2
PD0285/EW/2500/413,Earthworks Drawing 13 of 19,EW,Drawing,Section 2
PD0285/EW/2500/414,Earthworks Drawing 14 of 19,EW,Drawing,Section 2
PD0285/EW/2500/415,Earthworks Drawing 15 of 19,EW,Drawing,Section 3
PD0285/EW/2500/416,Earthworks Drawing 16 of 19,EW,Drawing,Section 3
PD0285/EW/2500/417,Earthworks Drawing 17 of 19,EW,Drawing,Section 3
PD0285/EW/2500/418,Earthworks Drawing 18 of 19,EW,Drawing,Section 3
PD0285/EW/2500/419,Earthworks Drawing 19 of 19,EW,Drawing,Section 3
PD0285/EW/2500/420,Earthworks Details of excavation and replacement under bridges,EW,Drawing,
PD0285/EW/2500/421,Earthworks Details Flood Protection Works,EW,Drawing,
PD0285/EW/2500/422,Earthworks Detail in areas of pre-existing slips,EW,Drawing,
PD0285/EW/2500/423,Earthworks Instrumentation Requirements,EW,Drawing,
PD0285/EW/2500/501,Earthworks Drawing for Contamination 1 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/502,Earthworks Drawing for Contamination 2 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/503,Earthworks Drawing for Contamination 3 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/504,Earthworks Drawing for Contamination 4 of 19,EW,Drawing,Section 1A
PD0285/EW/2500/505,Earthworks Drawing for Contamination 5 of 19,EW,Drawing,Section 1B
PD0285/EW/2500/506,Earthworks Drawing for Contamination 6 of 19,EW,Drawing,Section 1C
PD0285/EW/2500/507,Earthworks Drawing for Contamination 7 of 19,EW,Drawing,Section 1C
PD0285/EW/2500/508,Earthworks Drawing for Contamination 8 of 19,EW,Drawing,Section 1C
PD0285/EW/2500/509,Earthworks Drawing for Contamination 9 of 19,EW,Drawing,Section 2
PD0285/EW/2500/510,Earthworks Drawing for Contamination 10 of 19,EW,Drawing,Section 2
PD0285/EW/2500/511,Earthworks Drawing for Contamination 11 of 19,EW,Drawing,Section 2
PD0285/EW/2500/512,Earthworks Drawing for Contamination 12 of 19,EW,Drawing,Section 2
PD0285/EW/2500/513,Earthworks Drawing for Contamination 13 of 19,EW,Drawing,Section 2
PD0285/EW/2500/514,Earthworks Drawing for Contamination 14 of 19,EW,Drawing,Section 2
PD0285/EW/2500/515,Earthworks Drawing for Contamination 15 of 19,EW,Drawing,Section 3
PD0285/EW/2500/516,Earthworks Drawing for Contamination 16 of 19,EW,Drawing,Section 3
PD0285/EW/2500/517,Earthworks Drawing for Contamination 17 of 19,EW,Drawing,Section 3
PD0285/EW/2500/518,Earthworks Drawing for Contamination 18 of 19,EW,Drawing,Section 3
PD0285/EW/2500/519,Earthworks Drawing for Contamination 19 of 19,EW,Drawing,Section 3
PD0285/EW/2500/520,Land within RAF Syerston Borehole Location Plan for Groundwater Monitoring,EW,Drawing,
